id,date,content,Emotion
2,2022-09-09 03:04:00+00:00,posted reposted from may they rest peace and power folded hands dark skin tonehonorthem toronto ontario,5.0
3,2022-09-09 02:15:19+00:00,reporting today with for the death queen elizabeth was outside james anglican cathedral old town toronto friend and neighbour john stewart stopped met her majesty twice and offered some memoriesqueenelizabeth,3.0
4,2022-09-08 23:45:04+00:00,the choir practicing tonight for longplanned memorial for queen elizabeth will take place date announced her majesty visited james cathedral three times most recently july after which she attended the queen plate horse race,3.0
5,2022-09-08 19:12:20+00:00,rip your royal majesty cry toronto ontario,7.0
6,2022-09-08 17:48:43+00:00,the flags are being lowered half mast after the death queen elizabeth onpoli,0.0
7,2022-09-08 17:48:17+00:00,rest peace her majesty queen canada flag for canada,5.0
8,2022-09-08 17:48:08+00:00,today the saddest day for and the world that queen elizabeth has died thank you for years service your majesty ripqueenelizabeth,3.0
9,2022-09-08 17:46:55+00:00,say what you want about her majesty and the royals but what queen elizabeth did her lifetime was beyond anything people today could handle rip crown,7.0
10,2022-09-08 17:45:30+00:00,deepest condolences thoughts and prayers you all your loss may she rest peace,5.0
11,2022-09-08 17:44:35+00:00,rip most loved woman mother and queen heartheartheart,7.0
12,2022-09-08 17:43:26+00:00,right leave alone did not this her majesty,3.0
13,2022-09-08 17:43:17+00:00,rip queen elizabeth folded hands mediumlight skin tone,7.0
14,2022-09-08 17:42:55+00:00,rest peace crown folded hands mediumlight skin tone,5.0
15,2022-09-08 17:42:32+00:00,service exemplified may she rest peace,5.0
16,2022-09-08 17:42:23+00:00,god save the king thank you your majesty queen elizabeth for lifetime service shall never see anyone like her again,5.0
17,2022-09-08 17:40:37+00:00,first trip england the queen gave heartwarming speech the rest peace queen elizabeth,5.0
18,2022-09-08 17:40:21+00:00,rest peace your majesty queenelizabeth,5.0
19,2022-09-08 17:40:16+00:00,rip her majesty praypraypray,7.0
20,2022-09-08 17:40:02+00:00,rip lizzie,7.0
21,2022-09-08 17:39:38+00:00,rest peace queen canada,5.0
22,2022-09-08 17:38:51+00:00,rest peace your majesty god save the queen flag for united kingdomregional indicator,5.0
23,2022-09-08 17:38:35+00:00,people are extra instead just being like rip queenelizabeth they need write out history briefing why she horrible person like she just died can people have tiny bit respect,7.0
24,2022-09-08 17:38:26+00:00,queens elizabeth dead rip queen,7.0
25,2022-09-08 17:38:08+00:00,deepest condolences the royal family today such devastating news,0.0
26,2022-09-08 17:36:41+00:00,rip queen elizabeth folded hands light skin tone the end era crown,7.0
27,2022-09-08 17:35:07+00:00,rip liz disappointed,7.0
28,2022-09-08 17:34:47+00:00,rest peace queen elizabeth has just passes queenelizabeth,5.0
29,2022-09-08 17:34:28+00:00,heartbreaking news rest peace your majesty,5.0
30,2022-09-08 17:34:14+00:00,rip lizzie,7.0
31,2022-09-08 17:34:06+00:00,pleading facepleading facecryrip queen,10.0
