id,date,content
0,2022-09-09 20:45:28+00:00,"['nice', 'night', 'trip', 'uk', 'delhi']"
1,2022-09-09 20:41:19+00:00,"['may', 'soul', 'rip', 'nation', 'family', 'fellow', 'uk', 'citizens', 'moment', 'grief', 'indeed', 'shameful', 'act', 'state', 'mourning', 'hopefully', 'gives', 'guard', 'honour', 'masters', 'indian', 'republic', 'shouldnt']"
2,2022-09-09 19:25:57+00:00,"['horrendous', 'shame', 'state', 'acts', 'happenstate', 'government', 'must', 'take', 'responsibility', 'family']"
3,2022-09-09 19:14:54+00:00,"['firki', 'queen', 'sc']"
4,2022-09-09 19:13:38+00:00,"['called', 'great', 'britain', 'looted', 'trillion', 'usd', 'india']"
5,2022-09-09 19:03:34+00:00,"['ji', 'bilkul']"
6,2022-09-09 19:00:10+00:00,"['watched', 'siya', 'today', 'team', 'done', 'fabulous', 'job', 'ratings', 'masterpiece', 'well', 'crafted', 'pain', 'siya', 'family', 'go', 'feel', 'same', 'hats', 'thanks', 'inviting', 'ssoabs']"
7,2022-09-09 18:47:04+00:00,"['chain', 'snatching', 'gate', 'ajnara', 'genx', 'pls', 'ask', 'family', 'members', 'careful']"
8,2022-09-09 18:45:50+00:00,"['kingcharles', 'king', 'charles', 'iii', 'greeting', 'crowds', 'outside', 'buckingham', 'palace', 'kingcharles', 'royal', 'royalfamily']"
9,2022-09-09 18:43:31+00:00,"['need', 'college', 'going', 'students', 'good', 'communication', 'skill', 'part', 'time', 'work', 'dm', 'queen', 'queenelizabeth', 'queenelizabeth', 'sourcelove', 'earnmoney', 'earni', 'socity', 'totallyspies']"
10,2022-09-09 18:37:06+00:00,"['complaint', 'neighbour', 'willing', 'kill', 'street', 'dog', 'family', 'give', 'food', 'shelter', 'also', 'filed', 'fir', 'it', 'today', 'dog', 'hold', 'sons', 'leg', 'husband', 'ran', 'kill', 'dog', 'came', 'fought', 'amp', 'abused']"
11,2022-09-09 18:30:25+00:00,"['promoting', 'circulareconomy', 'renewed', 'products', 'queenelizabeth', 'queen', 'bramhastra', 'indianeconomy', 'india', 'delhi', 'mumbai', 'graphicdesign', 'student']"
12,2022-09-09 18:14:26+00:00,"['huge', 'huge', 'huge', 'maiden', 'fan', 'theres', 'one', 'thing', 'global', 'institution', 'longest', 'lingering', 'remainder', 'terrorism', 'seems', 'like', 'og', 'last', 'shread', 'queen', 'elizabeth', 'revelation', 'developing', 'corners', 'end', 'world']"
13,2022-09-09 17:55:31+00:00,"['death', 'queen']"
14,2022-09-09 17:47:41+00:00,"['infantry', 'queen', 'battle']"
15,2022-09-09 17:47:06+00:00,"['queen', 'dear']"
