,date,content
0,2022-09-09 23:50:00+00:00,@ActualBraun @HSternIsBatman @3YearLetterman @dublincelticfan Ya only 70 million claim Irish heritage from our tiny little country and don’t shut up about it. Cry more
1,2022-09-09 23:49:07+00:00,Stunning first look at #thelittlemermaid coming to Irish cinemas from @DisneyStudiosIE next summer! https://t.co/4MtSwbyDfB
2,2022-09-09 23:45:57+00:00,Looking out for Irish locations 👀 in the first trailer for #Disenchanted on @DisneyPlusUK https://t.co/UYdYnyAGg6
3,2022-09-09 23:34:27+00:00,"@SamDob88 Thank you, wine &amp; cake were delish! Family I’ll keep for another year😉😂 Not a bad start to a new decade🥰"
4,2022-09-09 23:34:21+00:00,"For anyone wondering, one small part of the reason we hate the Brits so much is they saw the potato blight of the 1840s as a convenient answer to Irish “overpopulation” (we had a population of &gt;8 million). One million died, another million fled. There was enough food in Ireland https://t.co/ul5ObAAqvw"
5,2022-09-09 23:11:06+00:00,@g_gosden It's definitely up there with the Daily Mail's Queen-shaped clouds floating over Britain.....
6,2022-09-09 23:07:50+00:00,"@DannyWArmstrong I’ve only shed a tear for passing family and friends, never for some head of a made up organisation who couldn’t care less for their “subjects” 
You royaly’s are an odd bunch"
7,2022-09-09 23:05:18+00:00,"@gavinjdaly @Lucycaddell @pb4p Thats fair. We're all entitled to our opinions. My point is, there's a group in Britain who has this conversation all the time, and take a break when something like this happens. PBP never talk about it, and only bring it up when something like this happens. So I disagree."
8,2022-09-09 23:05:04+00:00,@Royal__Yellow https://t.co/CWyUbM8MhL
9,2022-09-09 22:59:10+00:00,@trishayearwood for an Irish headliner next please!🇮🇪☘️👑 #GarthInIreland #TrishaYearwood https://t.co/VOhVeUQ8E1
10,2022-09-09 22:56:31+00:00,@BeardedGenius Irish
11,2022-09-09 22:51:00+00:00,@seanehewitt @TheStoneCarver Love this. I bought one from @TheStoneCarver and gave it to the Irish Poetry Reading Archive @UCDLibrary @ucdspeccoll
12,2022-09-09 22:46:48+00:00,@dylanMo01403546 @TheWillRoss @talkSPORT @trevor8sinclair If the Queen was black and Trevor Sinclair was white is the most white-est thing on twitter today. Get a grip of yourself
13,2022-09-09 22:46:12+00:00,@cathgibs @Krap_Curl That was probably the biggest football death that was a shock.
14,2022-09-09 22:39:56+00:00,@HollarSilas @sophielouisecc Take a look again at the Irish
15,2022-09-09 22:30:19+00:00,"@dublincelticfan @HSternIsBatman @3YearLetterman Absolutely, brush it all under the carpet as usual. 32 million Americans with irish heritage yet they have embarrassingly low basic history knowledge 😂😂"
16,2022-09-09 22:16:17+00:00,"@tim_carey1 American Country music probably has Irish and Scotch / Irish roots so it transfers easily. Culchies like it, metropolitan elites not so much!"
17,2022-09-09 22:15:12+00:00,"@JohnReynlds @luisbruno @samtranum @compositioninq Will climate change really make much difference to storm damage causing outages  in UK? It’s basically an urban grid, not like ours. Battery wouldn’t last long in winter when severe storms mostly occur"
18,2022-09-09 22:07:55+00:00,"@DaveMacLachlan1 Mary Queen of Arkansas 
Dancing Queen"
19,2022-09-09 21:54:21+00:00,@Hilti_Ireland ?? Any free tools for all the Publicity..? 🤷🏼‍♂️ #GarthBrooksDublin #hilti #GlazersSellNow #MUFC_FAMILY
20,2022-09-09 21:51:46+00:00,"Oh, god, imagine sitting beside him at the reception. Just hours of how he’d look bigly good in a crown and how the English should make him queen. https://t.co/KYntY9zD3L"
21,2022-09-09 21:46:33+00:00,"@atrupar Are they completely daft on CNN.  I am watching BBC news all day today and yesterday since news of the death of HM Queen Elizabeth II was announced.  Tfg has not been mentioned, nor shown on any of the footage. Great a grip."
22,2022-09-09 21:44:48+00:00,@CatOfTheCanalss @brittanialyn10 @emw2104 @irony_dies @barrymcgee @tcoreagain @RexChapman It's like talking to the wall with them. Pretending to be Irish so that they can be oppressed is painfully embarrassing.
23,2022-09-09 21:42:16+00:00,"Delighted to get started and welcome students on-campus today for our new MSc in Child and Family Health and Wellbeing https://t.co/9knl11Xvtr @DCUSNPCH @DCUFSH 
@DCU https://t.co/KkoHQszhiC"
24,2022-09-09 21:38:14+00:00,One is a great Irish scholar. The other is O’Hare. @1916walkingtour https://t.co/V5Zfn1DGVc
25,2022-09-09 21:31:33+00:00,"@Fran65568188 If they were that close to death they might have been better off at home…. Or in a hospital…. I dunno 🤷🏻‍♀️

The dramatics of ye. #LateLate"
26,2022-09-09 21:27:14+00:00,"@CatOfTheCanalss @brittanialyn10 @emw2104 @irony_dies @barrymcgee @tcoreagain @RexChapman It's like they don't understand that people of Asian and African descent born and bred in Ireland are Irish, while Karen from Kentucky who never set foot in Ireland actually isn't. We might have to start drawing them pictures."
27,2022-09-09 21:21:41+00:00,"@marccarolan @Maura_BV @tcoreagain @RexChapman Biden came to Ireland because he, like every other president before him, wants the Irish American vote. Don't be so gullible."
28,2022-09-09 21:18:52+00:00,@Maura_BV @tcoreagain @RexChapman Still not Irish.
