,date,content
0,2022-09-09 21:52:09+00:00,"Oh God. I just discovered a pretty good friend of mine is obsessed with the royal family. She called them ""the firm""and I was like WTF just happened?"
1,2022-09-09 16:59:44+00:00,"Reasons to not be sad about the death of Queen Elizabeth II (a thread)
#AbolishTheMonarchy https://t.co/ykAHjKuc8O"
2,2022-09-09 16:56:51+00:00,Queen Elizabeth's Death Won't Help Prince Harry's Relationship with Royal Family https://t.co/WklgffALTf
3,2022-09-09 16:54:43+00:00,"Kanye West Settles Beefs After Queen Elizabeth's Death with Pete, Cudi, Adidas https://t.co/l5XT8xjqEI"
4,2022-09-08 18:20:18+00:00,My prayers are with the royal family and those mourning the loss of Queen Elizabeth II. She served the United Kingdom dutifully throughout her 70-year reign—and her legacy is one of steadfastness in times of uncertainty. https://t.co/LwALEL1Ofx
5,2022-09-08 18:03:41+00:00,"My heart and thoughts are with the royal family as well as with the people of the UK as they mourn this loss. The Queen lived a life true to her promise, one of dedicated service for her whole life. https://t.co/aHHU0M7EY3"
6,2022-09-08 17:44:34+00:00,It’s the fact this was announced after the Queen’s death was announced #petty https://t.co/ituk74g2fo https://t.co/97aHwlnTI1
7,2022-09-08 17:37:59+00:00,"Queen Elizabeth II, Britain’s longest-serving monarch, dead at 96  https://t.co/fMyFskVpfz"
8,2022-09-08 17:26:38+00:00,@RoyalFamily We hope and pray for the best.  So grateful for her long years as Queen.  Also grateful her family is arriving to spend time with her!  🙏🏻❤️
0,2022-09-09 17:03:35+00:00,Not me being attacked by the French on my comments about the death of the Queen of England… live laugh love I guess https://t.co/wBemVUAnnT
1,2022-09-09 16:49:04+00:00,"Them: How did you predict the Queen's death? Did you lie or make it up?

Me: What? No way! Why would I do that? https://t.co/OkNBApmYUC"
2,2022-09-09 15:13:19+00:00,The only Royal Family I acknowledge. #Griselda #GriseldaFamily #Ayo #BoomBoomBOOM #ButcherComin #GriseldabyFashionRebels #TheseAreTheRealSopranos https://t.co/DSKgSiM9Mc
3,2022-09-09 15:10:40+00:00,"@POTUS Queen Elizabeth II often spoke openly about her Christian faith throughout her reign, as reported by Christianity Today.
Despite this and despite being a self-described Catholic, Biden never mentioned God or the afterlife in his official statement on her death.  Trump did."
4,2022-09-09 14:01:30+00:00,"A cousin of mine brought up the fact that our grandmother, who we called “Nan” must have been so excited to meet The Queen yesterday in heaven. Nan loved all things British, especially the royal family. Brought a few tears to my eyes. ❤️"
5,2022-09-09 04:01:16+00:00,"I understand that the British Monarchy wasn't wonderful, and neither was the royal family, but some of these jokes are gross.

A human died, y'all."
6,2022-09-08 17:44:27+00:00,"@RoyalFamily Queen Elizabeth II has passed at 96. She was forced into power at the young age of 25, serving the public for over 71 years. She swore in 15 UK PMs, starting with Winston Churchhill &amp; ending with Liz Truss just days ago. #QueenElizabeth #RIPQueenElizabeth https://t.co/L6qQPWQ2nv"
7,2022-09-08 17:39:20+00:00,The Queen dying is a huge jolt even though we knew how old she was. Much change on the horizon. Condolences to the Royal family for this huge loss. #QueenElizabeth
8,2022-09-08 16:25:24+00:00,"I’m very much an anti-monarchist. I recognize what the British have done. Still, I don’t wish Elizabeth death. My father’s side came from England. It will be fascinating watching the ritual. She’s been in power so long, nobody has seen this in a long time."
9,2022-09-08 16:19:23+00:00,"You know things are serious when the royal family is being referred to only by their formal titles, forcing Americans to ask Google who everyone is https://t.co/R2TbGbbTol"
10,2022-09-08 16:05:51+00:00,"the queen doesn’t deserve to share a death day with my dad. in other news, I miss my dad a lot today."
11,2022-09-08 16:01:31+00:00,"@ftrain Flipping through my mental thumb drives:

“Epidemiology”
“Election Verification Procedures”
“Competitive Ice Skating”
“Weapons Systems Training and Logistics”

Aha!

“British Royal Family and History!”"
12,2022-09-08 13:00:07+00:00,"That the royal family is rushing to Queen Elizabeth II's bedside in Scotland is not a good sign. :-(
 https://t.co/CZUNCWNPMr"
