,date,content
0,2022-09-09 20:21:53+00:00,"Man, I cant wait for the royal family to stop trending. Im Over it."
1,2022-09-09 20:04:36+00:00,God save the King 👑 #royal #uk #England
2,2022-09-09 20:02:55+00:00,"📺 Now at 4: Team coverage on the death of Queen Elizabeth II. #nbc4ny

@LyndaBaquero4NY @Gus4NY @Natalie4NY @NBCNewYork https://t.co/3bxnWhzktt"
3,2022-09-09 19:20:25+00:00,should I reach out to the British guy I went on a five hour date with in London and see how he’s handling the queen’s death?
4,2022-09-09 19:13:35+00:00,"PR Amb. Mohammed Hussein Bahr AlUloom and the #Iraq team to @UN offer their sincere condolences to the Royal Family, the British People &amp; @UKUN_NewYork on the passing of HM Queen Elizabeth II. https://t.co/SibRlyX6LP"
5,2022-09-09 19:07:57+00:00,"▫️#time goes by..

Queen Elizabeth II, the UK’s monarch for the past 70 years, has #died aged 96!
#GodSaveOurQueen👑🇬🇧
#RIP✝️ https://t.co/SFkAFtk9tT"
6,2022-09-09 18:58:34+00:00,"@rev_avocado @SababaUSA Would the massacre of much of the royal family by one of its own be  violent cause?
https://t.co/cTAAPllYYW"
7,2022-09-09 18:12:32+00:00,@56blackcat We can think the queen was a nice person but not support monarchy in the world. I am Irish and there is history.
8,2022-09-09 17:37:27+00:00,@LaurieInPhilly He was going to give the Royal family a ‘deal’. The way he is he’ll say King Charles wanted to bury her there.
9,2022-09-09 16:47:48+00:00,"@DMW9699 @dapotter42 @CNN Is it fair to say their financial-independence and means are as beneficiaries of the family trust? It’s an honest question, asked with utmost respect for The Queen and her family.
I’m unaware if Andrew, Anne and Edward are significantly or only partially subsidized by the trust."
10,2022-09-09 16:41:14+00:00,"This isn’t about a single person’s death. 

This is a moment to remind the world that it’s 2022 &amp; we shouldn’t have a KING or QUEEN in the first place.

The very EXISTENCE of excessive wealth &amp; power tied to hereditary royalty built off of colonialism is inescapably evil."
11,2022-09-09 16:12:16+00:00,"My deepest Condolences to The Royal Family, the Parliament, and to the Commonwealth of UK. There will only be one Queen Elizabeth. May Her Majesty Queen Elizabeth Rest In Peace. God Save The King. 
#QueenElizabeth"
12,2022-09-09 15:44:24+00:00,"When you apply for UK visa and they pull up your tweets about the Queen on Black Twitter. 

#QueenElizabeth #BlackTwitter #IrishTwitter https://t.co/4xCXZcKobL"
13,2022-09-09 15:40:04+00:00,New Yorkers Mourn the Queen's Death at English Restaurants - Eater NY https://t.co/pE0IYX6oHa https://t.co/ftQWOsMIyn
14,2022-09-09 15:14:35+00:00,John Lydon Makes Statement on the Death of Queen Elizabeth II https://t.co/cOoApWz5js https://t.co/UwwaYBA6yq
15,2022-09-09 14:53:41+00:00,"Queen Elizabeth II's death marks a new era for Britain, beset by economic uncertainty #charlesiii #governmentannouncements #balmoralcastle #bankofengland #elizabethii #boe #fintwit https://t.co/j9Jhwx8Xh4"
16,2022-09-09 14:18:43+00:00,Ms. @margbrennan is Irish🇮🇪 &amp; the @FaceTheNation moderator with @NikolenDC on @CBSNews Red &amp; Blue🇺🇲 remember the life of Queen Elizabeth II &amp; her role in the relations between the two European countries the United Kingdom &amp; Ireland. #QueenElizabethII🇬🇧👸🌹 https://t.co/6e79teYHKX https://t.co/SEbqAIFGg9
17,2022-09-09 12:49:20+00:00,@queenamichallah @lawyerface917 God I wish the Irish nothing but dead queen
18,2022-09-09 12:24:38+00:00,JFC I am SO glad this happened while I’m in the USA where nobody gives a shit about the royal family. I can’t imagine being surrounded by the shitty Australian media right now.
19,2022-09-09 12:24:08+00:00,I am sad she died. Three days ago Queen Elizabeth was receiving the new Prime Minister. Fulfilling her duty. Life and death are like that! Fragile &amp; instantaneous. She was a good woman who loved her family- with a huge sense of responsibility. She was much loved by all https://t.co/50K9Scn8m7
20,2022-09-09 12:05:32+00:00,The Empire State Building shines purple to honor Queen Elizabeth... Prays for the Uk and the Queens family 💜💜💜 @ Empire State Building https://t.co/BDTXO19xRQ
21,2022-09-09 11:46:19+00:00,And niggas defend this royal family. Keep sending those memes y’all https://t.co/2q05tEqjaZ
22,2022-09-09 11:38:08+00:00,"I’m in that irrational category of knowing the British royal family is a pretty weird institution to cling to in 2022, but still like the entertainment value of having them around, sitting in the box at Wimbledon, getting married, getting into mischief and whatnot."
23,2022-09-09 11:07:15+00:00,"11.40kms #Fridayrun 63°f dark but nice! Final epidose of S2 of the flight attended was wow last nigh, Jason n I wanted ++! What is the big deal of the death of the Queen of England yesterday? Ppl has nothing to do apparently!👀🏃‍♂️😊💓🍆📺🎉https://t.co/booPsR3HLM"
24,2022-09-09 10:35:19+00:00,Congratulations King Charles III You got it finally it has been a long wait Good things come to those like Charles I feel the pain in loss of a mother the an timely death at 96 years RIP https://t.co/3tYirkNWP9
25,2022-09-09 08:21:04+00:00,Creators of Meme Coins Attempts To Capitalize on Queen’s Elizabeth II Death #nft #lilmoonlambo #londonbridgeisdown #charlesiii #whatshappening #monarch #fintwit https://t.co/uHfQ6k5UDq
26,2022-09-09 07:11:06+00:00,Watch the exact moment White House press secretary Karine Jean-Pierre learned of the Queen Elizabeth II's death in the middle of a press briefing #elizabethii #karinejeanpierre #pressbriefing #fintwit https://t.co/kFfGxIW7F6
27,2022-09-09 05:09:06+00:00,"I was uninformed/indifferent about the royal family before watching the show, and after binge watching it multiple times and going down rabbit holes in Wikipedia, I think that the monarchy should be abolished. https://t.co/jGRwIBWWPI"
