,date,content
0,2022-09-09 21:48:43+00:00,Rest in Peace #QueenElizabethII https://t.co/m5UUKogKRp
1,2022-09-09 14:53:38+00:00,may her majesty forever rest in peace https://t.co/sAUSYnou52
2,2022-09-09 14:51:20+00:00,#BBCNews - #KingCharles to address nation as #monarch for #firsttime https://t.co/4cC11vB9z6
3,2022-09-09 11:57:46+00:00,#BBCNews - National life after #Queen's #death: Will #schools close? https://t.co/s3byIcLuUv
4,2022-09-09 10:07:53+00:00,I dislike hereditary institutions not only because they are indifferent towards merit but because one never knows whether their family will mourn their death or rejoice in it.
5,2022-09-09 09:22:11+00:00,"@chrisshipitv And the Duke of Sussex has decided not to visit Her Majesty during the Summer in Balmoral despite having an invitation from his grandmother and his Father. That's the difference to the others, The Duke of Cambridge, The Duke of York and Count and Countness of Wessex"
6,2022-09-09 06:13:13+00:00,"""I swear by heaven, death and the dark, destructive sea: let the hand I raise strike with tremendous rage."" Otello infuriated over Desdemona's seeming infidelity, as only one tenor can portray him in all his despair: @PlacidoDomingo with Sergei Leiferkus as Iago, ROH London, 1992 https://t.co/BV3WnS7cef"
7,2022-09-09 06:08:44+00:00,A Life in service endsHer Majesty „The Queen“ Elizabeth II1926 - 2022#QueenElizabeth #TheQueen#UnitedKingdom #Commonwealth #TheRoyalFamily https://t.co/3fCVEtnxJ1
8,2022-09-09 02:04:39+00:00,"Just had a wee cry watching BBC World News back in my hotel. Truly, she was a wonderful Monarch, a cherished part of British life, and the nation’s grandmother.Rest in Peace, ma’am.#QueenElizabeth"
9,2022-09-08 23:07:52+00:00,May She rest in peace. God save the King.
10,2022-09-08 21:46:42+00:00,The Queen was so old school. Duty and decency despite all the entitelment.This ethos will be missed.RIP
11,2022-09-08 21:27:19+00:00,On queen death: my granddad was German war refugee. Among many jobs was history tutor to prince philip when he was in army. Then out of blue years later invited him to his wedding with Liz. A special family. And Don’t get me started on thequeen mum. Brandy 4 brkfast. lived to 103 https://t.co/M71xrCcy1u
12,2022-09-08 21:20:46+00:00,Rest in peace … #QueenElizabethII 😥😥 🇬🇧🇬🇧🇬🇧 https://t.co/ITZvGVLIFO
13,2022-09-08 20:40:07+00:00,@LostGlasgow RIP Jean
14,2022-09-08 20:31:33+00:00,RIP Her Majesty.  😢  🇬🇧 https://t.co/gkX9YzsmSu
15,2022-09-08 20:00:30+00:00,Queen Elizabeth death party this weekend at fabric london it's gonna be a mad ting innit
16,2022-09-08 19:59:51+00:00,"The Crown season 6, spoiler alert. #rip #QueenElizabethII https://t.co/71HnCcVElT"
17,2022-09-08 19:59:38+00:00,Rest in peace 🕯️😔 https://t.co/Atkbk5s5FJ
18,2022-09-08 19:58:50+00:00,A crown from Elisabeth II. coronation 1953. Made for Kids to spare money. I mourn facing her death right now.4 https://t.co/jigHeQ0Czy
19,2022-09-08 19:33:21+00:00,@frankboester Very much so.May she rest in peace. #QueenElizabeth
20,2022-09-08 19:26:25+00:00,"“Do they keep you busy” is what she asked me with her famous smile. A memory of the Queen I’ll keep forever, when we went to Windsor to launch BQFP, and I smuggled a picture of the chandelier out… RIP https://t.co/JHRVo1fQ4B"
21,2022-09-08 19:21:10+00:00,R.I.P QUEEN  #London #England #artoftheday #art #artwork #phili https://t.co/8AROd8vFRy
22,2022-09-08 19:20:22+00:00,"@KristianGath @jeremy_millar_1 Like I say, please feel free to unfollow me if you don't like my opinions. I'm not here for you. I really, really detest the idea and actuality of the royal family. Evidently you don't, that's cool, go off and wave a flag, do as you wish, as I will."
23,2022-09-08 19:19:49+00:00,"A very sad day. With the death of Her Majesty The Queen, our world has lost a graceful and timeless monarch – an anchor of stability and unity during those many stormy decades of world history. In Germany, our hearts and thoughts are with the @RoyalFamily and our British friends. https://t.co/W7r7ffRUqQ"
24,2022-09-08 19:16:13+00:00,"Most of my public school days started with singing God Save the Queen. She was a powerful example of leading with grace. I am sad for the world. I am happy for her - such a long, influential life and a peaceful death. Heaven is richer today. https://t.co/BGWLgSMe2b"
25,2022-09-08 19:06:38+00:00,RIP Queen Elizabeth. https://t.co/E2aabmCDon
26,2022-09-08 19:06:20+00:00,RIP to the Queen Elizabeth 2 from the British embassy in Berlin! She was the queen for all those years and will never be forgotten! @ Brandenburger Tor https://t.co/0KLMm8GLjQ
27,2022-09-08 18:50:03+00:00,Statement from UN Secretary General @antonioguterres on the death of Queen Elizabeth II. https://t.co/WMUw4adyCL
28,2022-09-08 18:31:53+00:00,Together with His Majesty The King and all the Royal Family I mourn the passing of Her Majesty #QueenElizabeth II. May she find eternal peace. https://t.co/Niyq5s2br4
29,2022-09-08 18:31:35+00:00,(CG) I can only echo these words by the Federal Chancellor and bow my head in respect to Her Majesty. https://t.co/kpR5nvADlD
30,2022-09-08 18:29:05+00:00,"Chancellor Olaf Scholz: ""We mourn the death of Queen Elizabeth II. She was a role model &amp; inspiration for millions, also here in Germany. Her commitment to 🇩🇪-🇬🇧 reconciliation after the horrors of WWII will remain unforgotten. She will be missed, not least her wonderful humour."" https://t.co/gER5bePjmx"
31,2022-09-08 18:27:27+00:00,"„When life seems hard, the courageous do not lie down and accept defeat; instead, they are all the more determined to struggle for a better future.“#QueenElizabeth #rip"
32,2022-09-08 18:18:38+00:00,"Thank you, goodbye her Majesty. Rest in peace.😢🇬🇧 https://t.co/SyJYaZ7Rza"
33,2022-09-08 18:17:34+00:00,RIP #QueenElizabeth . I am so sad! @Queen_UK https://t.co/obvg3UdJpM
34,2022-09-08 18:07:55+00:00,Rest in Peace https://t.co/hht2ttoZUD
35,2022-09-08 18:07:20+00:00,"Thank you, Your Majesty. #QueenElisabeth https://t.co/mff63n9IGu"
36,2022-09-08 17:52:10+00:00,"Thank You your majesty, for everything you have done for us 💔💔😥😥May you rest in peace#Elizabeth #QueenElizabeth https://t.co/8gCnhY598A"
37,2022-09-08 17:51:12+00:00,"🖤🙏 Rest in Peace, Queen Elisabeth https://t.co/rT34FTxcga"
38,2022-09-08 17:50:37+00:00,Rest in peace The Queen https://t.co/zIy1UJ7v9z
39,2022-09-08 17:45:39+00:00,Rest in Peace Her majesty #QueenElizabeth https://t.co/DsOMvXRsq0
40,2022-09-08 17:43:58+00:00,Rest in peace 🕯                               https://t.co/N513xoanRT via @heute_at
41,2022-09-08 17:43:38+00:00,God save the Queen. RIP #QueenElizabeth #Queen
42,2022-09-08 17:40:38+00:00,RIP Her Majesty The Queen. A true legend has passed away. 🇬🇧 https://t.co/NPmpdhgxBd
43,2022-09-08 17:40:28+00:00,"Rest in peace, HM Queen Elizabeth II. https://t.co/aGljLt032c"
44,2022-09-08 17:39:46+00:00,Ich habe ehrlich gesagt mixt-feelings. Rest In Peace though your Highness #QueenElizabeth https://t.co/rsy8aS5akV
45,2022-09-08 17:38:37+00:00,We will all miss Her Majesty The Queen. RIP https://t.co/UGtBA8WcmU
46,2022-09-08 17:36:12+00:00,Oh nO!!! ☹️Rest in Peace Elisabeth II. https://t.co/Y2fpgBnxGn
47,2022-09-08 17:35:50+00:00,Rest In Peace https://t.co/kXEH6GQNtx
48,2022-09-08 17:35:36+00:00,Rest in Peace Her Majesty 🖤 https://t.co/0HzWbsDDNj
49,2022-09-08 17:33:47+00:00,May her Majesty Rest in Peace 😢 #QueenElizabeth
50,2022-09-08 17:32:31+00:00,"Oh wait, it was the Guardian.RIP Queeny"
51,2022-09-08 17:11:17+00:00,@MunibaKamal I too don't till her death but she is symbolic.
52,2022-09-08 17:03:45+00:00,Intrigued to find out who my initial source of the news of her majesty's passing shall be.Probably Jedward again. They're usually first to the post on the big world events.
53,2022-09-08 15:28:44+00:00,This really doesn't sound good 😥😥Royal Family gathering at Balmoral is 'a significant moment' | UK News | Sky News https://t.co/ygdYdzJ3d7
54,2022-09-08 15:06:18+00:00,RIP QUEEN ELIZABETH LMFAOOO https://t.co/YVdFhj6uMg
55,2022-09-08 14:36:03+00:00,I am thinking about and praying for #QueenElizabeth and her family as Her Majesty is under medical supervision with ill health. https://t.co/T3lIbu9FBK
56,2022-09-08 14:12:32+00:00,Her Majesty Queen Elizabeth II pictured in 1975 at Windsor. Copyright © Derek Hudson/Getty Images @GettyArchive @GettyImages https://t.co/FKdMiMpG4d
