,date,content
0,2022-09-09 20:41:19+00:00,"May her soul RIP. As a nation we are with the family and fellow UK citizens in this moment of grief.

It's indeed a shameful act for state mourning, hopefully @BJP4India gives a guard of honour to their masters, but as a Indian republic we shouldn't.
@SanjayAzadSln
@AtishiAAP https://t.co/Hrb8MiWzKh"
1,2022-09-09 18:45:50+00:00,"#KingCharles King Charles III greeting the crowds outside Buckingham Palace 💙🙌
#KingCharles #Royal #RoyalFamily @NIA_India https://t.co/bx5klNj5ho"
2,2022-09-09 14:58:01+00:00,"Rate of Speed at Which Wheels of Justice Move @narendramodi @KirenRijiju Would Choke a Person
to Death-High Time Matters Concerning Life&amp; Liberty are Dealt by Creating A Dedicated District Judiciary &amp; a Cadre of Competent Men in Each District to Handle Such Matters @pbhushan1 . https://t.co/ltSoysRQdK"
3,2022-09-09 14:12:04+00:00,"Recently lost tycoon in an unfortunate incident, keep the harm away and play safe, seat belts are most essential while travelling in a car. 
An important MESSAGE from Gadkari Ji..🙏RIP Mistri🙏 https://t.co/ZUAu2Ke5VN"
4,2022-09-09 13:13:22+00:00,"Prince William, Duke of Cambridge with Mrs Camilla Parker Bowles. 

#changeofguard #QueenElizabeth #England https://t.co/hPia466cwf"
5,2022-09-09 12:20:59+00:00,"It's bad to publicly diss the death of a family member that plundered and terrorised your land and ancestors. 

But far worse to publicly celebrate and honour their legacy."
6,2022-09-09 12:00:49+00:00,"The Government of India has declared state mourning in the honour of death of Queen Elizabeth II on 11 September (Sunday).On this day the tricolor will be half-masted everywhere.
#QueenElizabeth https://t.co/EzlZzfaOWG"
7,2022-09-09 11:53:58+00:00,@pepsburner The Royal Family and royalists are deeply classist and pretend food security issues don't exist so this was always on the cards.
8,2022-09-09 11:34:17+00:00,"With the Queen's death, seems English also died..Kenya TV grab.. https://t.co/kLww6BAhsg"
9,2022-09-09 11:27:21+00:00,"@matkewali She is head of her nation.
To india as friend country krta hai.
Kisi country ke head(prime minister, president, king...) Ke death kr hamesha ke krta aaya hai"
10,2022-09-09 11:14:46+00:00,"“When life seems hard, the courageous do not lie down and accept defeat ; instead they all are the more determined to struggle for a better future .”
#Rest In Peace #QueenElizabeth QueenElizabeth QueenElizabeth# https://t.co/kJrG6jgAOT"
11,2022-09-09 11:07:47+00:00,"Rest in Peace , Queen Elizabeth II
#QueenElizabeth 
@RoyalFamily https://t.co/KqjHhxNSMK"
