,date,content
0,2022-09-09 21:46:33+00:00,"@atrupar Are they completely daft on CNN.  I am watching BBC news all day today and yesterday since news of the death of HM Queen Elizabeth II was announced.  Tfg has not been mentioned, nor shown on any of the footage. Great a grip."
1,2022-09-09 21:31:33+00:00,@Fran65568188 If they were that close to death they might have been better off at home…. Or in a hospital…. I dunno 🤷🏻‍♀️The dramatics of ye. #LateLate
2,2022-09-09 20:10:32+00:00,"@luckieluciee @saoirse_mchugh She was 96 and continued till the very  last moment,  respect  to a strong woman  RIP🌹She sat behind  her desk each day , attending  consultation , privy Councils, meetings with politicians  + Ambassadors attending  functions + events meeting  the people."
3,2022-09-09 19:29:27+00:00,"The artist built up a following for his much appreciated interpretations of Lowlands traditions &amp; sayings. The Triumph of Death (c1562) depicts scenes of an army of skeletons dragging people down to hell. No one is safe, no matter their status in life. https://t.co/GAUwNpaqKY"
4,2022-09-09 17:30:38+00:00,@DavidCarr2002 @tcoreagain @RexChapman We are two different people. Most people in the UK have some Irish ancestry but you NEVER hear someone from England with an Irish granny calling themselves Irish.
5,2022-09-09 17:26:29+00:00,This makes no sense. England's brain is broken. What the fuck are they talking about? https://t.co/ksMNkFL3My
6,2022-09-09 17:16:04+00:00,Good jaysus. On a bus I just seen David Icke on tik tok.   Ah here let the woman RIP.     I pissed meself laughing at him 35 years ago on Wogan. When does the gig/ grift stop.   ???  #shapeshiftinglizardsmearse
7,2022-09-09 17:05:48+00:00,@ranthasrabies @kingcharles_lll Impressed 💯
8,2022-09-09 16:45:15+00:00,@africanunsub We actually use to be last on the list. My dad lived in England years back and remembers those signs.
9,2022-09-09 16:35:11+00:00,"@shornKOOMINS I'm willing to bet that if the queen of England heard of the demise of poor Tony, there's 0% chance that she would have thrown her Chinese takeaway in the bin 🤔"
10,2022-09-09 16:15:27+00:00,"@Mikey_Burns @soundof71 @Rtreatwilliams @CNN No, it doesn't. Up to Queen Anne's reign the crowns were separate, so she was the last Queen of England. I mean, a 3 year old could grasp this but you're busy sucking up to the Yanks so I'll leave you to it 👍"
11,2022-09-09 16:14:59+00:00,"@taylorqobrien Yes. Good article. There's a TON of memes ridiculing her death emanating from Ireland. The Irish love nothing more than a good slagging.Though no one here is grieving, there is a general air of respect and sympathy for the Brits. We may refer to them as ""the old enemy"" but"
12,2022-09-09 15:43:55+00:00,"@soundof71 @Rtreatwilliams @CNN It was Anne, the crowns of England and Scotland were united during her reign. The crowns were separate previous to that."
13,2022-09-09 15:32:53+00:00,"Ya reckon  I quoted something to do with Arsenal this morning and match off.  It was respectable and  yes got something like this.    Is Arsenal just for for England ,Britain  now https://t.co/lzHiFWh0aF"
14,2022-09-09 15:12:23+00:00,"It must be comforting for the Royal Family to know that Queen Elizabeth is reunited with her late family members. Her husband, her second cousin, and her third cousin for example.And her other deceased relatives who aren’t Prince Philip."
15,2022-09-09 15:01:39+00:00,"Respect for your monarchy and all that but please do not force feed me your grief here in Ireland.   Monarchies by definition are absurd. rip to a lovely lady ( the queen ) but Ireland , Irish people are not obliged to shed crocodile tears for the British monarchy"
16,2022-09-09 14:24:15+00:00,RIP Dr. Richard Cook. https://t.co/g7ospM0e0N
17,2022-09-09 14:04:55+00:00,"Irish government that is shouting Queen of England is wicked come and see the way they tax, got grown men shedding tears 😀😀😀😀 https://t.co/W2SVBKPxg1"
18,2022-09-09 13:41:32+00:00,@imasurvivor66 A remarkable lady rip Elizabeth
19,2022-09-09 13:26:44+00:00,"John Michael Wright (c1661) Charles II. A demonstration of power, pomp &amp; majesty. Also shown is just one of his many mistresses - Barbara Villiers (c1665) by Sir Peter Lely. https://t.co/dRWjsFbHTc"
20,2022-09-09 13:26:38+00:00,"Royal portraiture is fascinating in that it presents how the monarch wishes to be seen by their subjects. Here’s Charles I, II &amp; III. Majesty relies heavily on perception &amp; artists have been central to how the image of a ruler is made. Perception can be tricky. https://t.co/3vaqLp7aHK"
21,2022-09-09 13:21:07+00:00,So many Sri Lankans are doing a great job attracting tourists from Britain by insulting the Queen after her death. Who needs enemies with such people around. 🤦‍♂️
22,2022-09-09 13:12:27+00:00,"An absolutely disgusting statement, not one word of condolence in it, love them or hate them, somebody has still passed away. While I agree with a lot of what is in this it’s a disgraceful way to use what is still the death of a human being to push your political agenda. Shameful https://t.co/VcEkgYlqel"
23,2022-09-09 13:10:45+00:00,@SamRCKelly We'd love to talk to you. Our aim is always to encourage open/honest conversations about death &amp; dying. How we die matters.
24,2022-09-09 13:08:03+00:00,I was so happy to be invited to Convention Centre in 2011 by UK Ambassador to see and listen to Queen Elizabeth II here in Dublin. She really enjoyed her visit to Ireland 🌺Sad to see her leave. RIP https://t.co/z54htfMo4q
25,2022-09-09 13:06:30+00:00,"@SpeakerPelosi @POTUS @usfca This is what Sinn Féin supporters in Ireland thought was appropriate after the death of Her Majesty The Queen. Mrs. Speaker, Mr. President and U of SF you MUST speak publicly regarding this disrespectful behaviour by Irish people who support Sinn Féin https://t.co/8kp8sqJkvk"
26,2022-09-09 12:48:14+00:00,Deepest sympathies to Miriam Markham on the passing of her mother Jenny. We would also like to pass on our condolences to all the Markham family. May Jenny rest in peace. Ar dheis Dé go raibh a hanam.https://t.co/jZJcmcPc63
27,2022-09-09 12:46:56+00:00,"Lovely gesture from the Ceann Comhairle, Sean O'Fearghail TD.  He has opened a Book of Condolence in Leinster House for Members and Staff to sign and leave messages on the death of Queen Elizabeth II. I was delighted to sign the book.Ar dheis Dé go raibh a h-anam dílis. RIP.🇬🇧🇮🇪 https://t.co/dijuzLwl7J"
28,2022-09-09 12:33:31+00:00,"@DPWorldTour Not playing today with flags at half all weekend, shows respect.  Restart tomorrow for 3 days, all wearing black ribbon on caps, or wherever.  Sport cannot be cancelled for 13 days!  Even the Queen would not want sport cancelled.  RiP."
29,2022-09-09 12:33:30+00:00,"Dirty brits,the royal family gave them the green light for this never forget it https://t.co/klAzwMmoId"
30,2022-09-09 12:14:22+00:00,The irony of supporters of an English game who most likely vote for a party that runs Northern Ireland for the Brits celebrating an old woman's death.. Where would you begin?
31,2022-09-09 12:08:23+00:00,Bengal famine Irish famineKenyan concentration camps Suppression of the Mau MauGenocide of Aborigines …Need I go on?#MakeElizabethTheLast #AbolishTheMonarchy
32,2022-09-09 12:02:55+00:00,#AbolishTheMonarchy and redistribute the enormous wealth https://t.co/ACrPDECQIZ
33,2022-09-09 11:39:16+00:00,"Jaynee, I’m so glad that I won’t be doing any #voiceovers regarding the Royal family.  I just said #KingCharles III out loud  and it comes out as King Charles the Turd 💩 🙈 #IrishTwitter #irishbrogue https://t.co/ORk0kxoXI5"
