,date,content
0,2022-09-09 15:51:47+00:00,"He gets.job finaly
#Queen #LondonBridgeIsDown #LondonBridge #londonbridgedown #PrinceCharles #England https://t.co/bhkWicKKYX"
1,2022-09-09 15:20:58+00:00,@Wanindu49 what a player!! He is gonna be a game changer in the Finals and even in the t20 World Cup! @TheRealPCB exposed badly today!! #PAKvsSL #QueenElizabeth #DisneyPlusDay #AbolishTheMonarchy #Queen
2,2022-09-09 15:17:28+00:00,Shukar hai ye match Death rubber match hai
3,2022-09-09 14:39:47+00:00,"The death of Queen Elizabeth on September 8th 2022 is a reminder that by 1920 the UK plundered over $45 trillion from the people who lived in pre-partition India/Pakistan - reparations are much needed to help progress

Donate to the floods and help make a change in Pakistan 🇵🇰 https://t.co/Nh9AdHrKHz"
4,2022-09-09 14:21:15+00:00,Rip Queen https://t.co/orEaXxi1w7
5,2022-09-09 14:14:20+00:00,"The new 👑 of England is ""Prince"" Charles! This happens when you have been a prince for over seven decades of your life ..."
6,2022-09-09 10:43:42+00:00,"In the honour of Death of Queen last decisions of all clubs are being nullified, starting from reinstatement of Thomas Tuchel as a Chelsea Manager… Only if… 
#BringBackTuchel https://t.co/0ghIh0DiYu"
7,2022-09-09 10:32:47+00:00,"Every time I feel I’ve seen it all, I’m surprised and sometimes shocked yet again. We saw the tragic death of a Princess, now the monumental loss of a great Monarch, which will naturally be followed by the accession of a new King! 
#RIPQueen #QueenElizabeth #RoyalFamily #Royalty https://t.co/EtbT79W6WU"
8,2022-09-09 08:55:23+00:00,"In British India, writers produced false knowledge and fake wisdom and spread the same. School/Madressah children used to read 👇  Boys! this is the photo of the Great Queen. Her majesty is the monarch of England and India. We are all her majesty’s people. ....! https://t.co/C6A7flpqXR"
9,2022-09-09 07:53:47+00:00,Twitter at its peak. Death of Queen
10,2022-09-09 07:51:54+00:00,"The London is Bridge Down. 
Queen of Britain #QueenElizabeth has passed away. RIP https://t.co/QRtqhFm8eS"
11,2022-09-09 07:13:56+00:00,"Paki folk, I'd be careful making fun of the queen's death. What if they start scanning our socials for visas now?! 😵‍💫"
12,2022-09-09 06:48:17+00:00,"She was undoubtedly the most respected and authoritative person of the century! She ruled Britain with grace , she was so lucky ! RIP 🪦 #QueenElizabethdeath"
13,2022-09-09 05:06:30+00:00,"From baby girl to girl, from girl to women! End of her reign!#ruled70years #QueenElisabeth #QueenOfEngland 
Rest in peace Queen 👑
@RoyalFamily @ClarenceHouse https://t.co/v9avBaA8Vq"
14,2022-09-09 04:37:09+00:00,"The grief of the people living in Britain over the death of the #QueenElizabethII is understandable, but the grief of the  liberals and the so-called progressive people of #Pakistan and #India over the death of the #QueenElizabethII is beyond comprehension.
#LondonBridgeIsDown"
15,2022-09-09 04:06:04+00:00,"We are deeply saddened to hear of the passing of Her Majesty The Queen.

RIP #QueenElizabeth

@gulf_news @FoxNews @AJEnglish @BBCNews @khaleejtimes https://t.co/QisZbjPIOQ"
16,2022-09-08 23:10:56+00:00,@ImranIsmailPTI May his soul rest in peace.
17,2022-09-08 22:33:38+00:00,"7 Decades 15 Prime Ministers 1 Queen 🎀
Her Majesty ❗ Queen Elizabeth II 
#QueenElizabethII #QueenElizabeth https://t.co/nsirqfiUaA"
18,2022-09-08 21:52:44+00:00,"@LethalityJane He's Chuck to us.

Some people say you can't be a good American unless you hate the British royal family, or as my Scottish grandmother called them, ""those Germans in London."""
19,2022-09-08 20:53:02+00:00,YOUR MAJESTY ❣️ Rest In Peace 💐💐💐 https://t.co/bKmAC53nrH
20,2022-09-08 20:24:33+00:00,Rest in peace  @queenelizabeth https://t.co/zWM6F6ABA1
21,2022-09-08 20:08:22+00:00,"We are incredibly saddened to hear of the passing of Her Majesty The Queen in her Jubilee year. 

The thoughts of the entire Gladiators family are with The Royal Family and her admirers at this immensely sad time. https://t.co/1zqOI3ywMo"
22,2022-09-08 19:53:45+00:00,"Rest In Peace Queen ♡
@RoyalFamily https://t.co/GykvLjj5h0"
23,2022-09-08 19:14:57+00:00,"Pakistan again lost a very important person especially karachi a very big loss , condolence to the family . May Allah give courage to the family. 
May the soul rest in peace . Aameen . 
ﺇِﻧَّﺎ ﻟِﻠّﻪِ ﻭَﺇِﻧَّـﺎ ﺇِﻟَﻴْﻪِ ﺭَﺍﺟِﻌﻮﻥَ
#HunaidLakhani"
24,2022-09-08 19:04:36+00:00,"Sad news 😢
The death of Queen Elizabeth II is being mourned in Britain and across the world. The country’s longest-reigning monarch died Thursday at age 96
#QueenElizabeth https://t.co/yWLz1Xk7jP"
25,2022-09-08 18:54:24+00:00,How can people actually be sad for her death? She ROBBED your lands. Murdered your ancestors. Idiots.
