,date,content
0,2022-09-09 23:59:52+00:00,'Truly unhinged hate' aimed at Queen Elizabeth II after monarch's death https://t.co/OQz8HjTEmG via @YouTube
1,2022-09-09 19:15:33+00:00,As a swedish i still got sad and just thinking THAT LADY WAS AMAZING - R.I.P Queen Elisabeth ll - God Will now give you your reward #england #QueenElizabethmemes #uk #RIPQueenElizabeth
2,2022-09-09 16:31:19+00:00,"@RegalEyes The best thing he needs to do to clear himself of the Diane's death which hangs over his conscience and that of the British royal family would be to let his eldest son Prince Williams take the crown and succeed his grandmother, at 70 It's too late, it might hasten even his death."
3,2022-09-09 16:28:10+00:00,"The best thing he needs to do to clear himself of the Diane's death which hangs over his conscience and that of the British royal family would be to let his eldest son Prince Williams take the crown and succeed his grandmother, at 70 It's too late, it might hasten even his death. https://t.co/wc76fHu1tk"
4,2022-09-09 16:27:12+00:00,"@RegalEyes @ChristianLumu31 The best thing he needs to do to clear himself of the Diane's death which hangs over his conscience and that of the British royal family would be to let his eldest son Prince Williams take the crown and succeed his grandmother, at 70 It's too late, it might hasten even his death."
5,2022-09-09 08:33:42+00:00,"Been calling Swedish royal reporters to get reaction to death of #QueenElizabethII — many are flying to London. Vast amounts of coverage in Sweden, pushing Sweden’s tight election race down agenda online &amp; on broadcast media. Queen was a distant relative of King Carl XVI Gustaf."
6,2022-09-09 04:28:02+00:00,My deepest condolences to the British people and to the Royal Family 🙏!
7,2022-09-08 23:21:31+00:00,"@MakoloKitenge1 @HonoreMvula1 The Queen Élisabeth II remains the most special monarch that the world has known, her particularity is characterized and by her longevity and the incredible length of her reign on the Throne in UK, this is the first time this happened in the history of modern world monarchies.🤔"
8,2022-09-08 23:20:55+00:00,"The Queen Élisabeth II remains the most special monarch that the world has known, her particularity is characterized and by her longevity and the incredible length of her reign on the Throne in UK, this is the first time this happened in the history of modern world monarchies.🤔"
9,2022-09-08 22:56:23+00:00,"@noeldecan2 @guardian The Queen Élisabeth II remains the most special monarch that the world has known, her particularity is characterized and by her longevity and the incredible length of her reign on the Throne in UK, this is the first time this happened in the history of modern world monarchies.🤔"
10,2022-09-08 20:54:54+00:00,"Saddened to hear of the passing of Her Majesty
Queen Elizabeth Il, the Queen of the United Kingdom of Great
Britain &amp; Northern Ireland
Heartfelt condolences to the Roval Family, people of #uk &amp; @commonwealthsec 
Her Maiesty dedicated her life to public service to the last day. https://t.co/NR4YdSwmZH"
11,2022-09-08 18:47:06+00:00,Sweden’s King Carl XVI Gustaf has described the late Queen as “a good friend” to his family &amp; praised her devotion to her work. @SwedishPM Magdalena Andersson said the Queen’s death deserves a “moment of consideration” #QueenElizabeth #QueenElizabeth
12,2022-09-08 16:27:30+00:00,I don’t want to see anyone tone policing the Irish rn. The one thing 400+ years of brutal colonialism gave us is an appreciation for dark and twisted humor.
