,date,content
0,2022-09-09 21:52:09+00:00,"Oh God. I just discovered a pretty good friend of mine is obsessed with the royal family. She called them ""the firm""and I was like WTF just happened?"
1,2022-09-09 18:54:35+00:00,"A gun leaves no room for asecond chance.Most people who attempt suicide do not die- unless they use a gun. Across all suicide attempts without a gun, 4% result in death.But when a gun is involved, that figure skyrockets to 90%. https://t.co/OoeWpBy1Pb"
2,2022-09-09 16:59:44+00:00,Reasons to not be sad about the death of Queen Elizabeth II (a thread)#AbolishTheMonarchy https://t.co/ykAHjKuc8O
3,2022-09-09 16:56:51+00:00,Queen Elizabeth's Death Won't Help Prince Harry's Relationship with Royal Family https://t.co/WklgffALTf
4,2022-09-09 16:54:43+00:00,"Kanye West Settles Beefs After Queen Elizabeth's Death with Pete, Cudi, Adidas https://t.co/l5XT8xjqEI"
5,2022-09-09 02:00:17+00:00,"Throw the ball to Dawson Knox, it’s what her majesty would have wanted."
6,2022-09-09 00:28:44+00:00,"Oh yes, and if it wasn't clear (it wasn't based on how I wrote that tweet), he has 3 rings w 3 different teams: Tampa, Philly and New England"
7,2022-09-08 23:21:14+00:00,I’m from America why would I be saying RIP to the queen 😑
8,2022-09-08 22:17:42+00:00,I was obsessed the royals! She’s actually back with her husband!! #RIP https://t.co/Qi66q6JpP0
9,2022-09-08 21:13:01+00:00,"imagine your death being turned into a global joke, karma is so real babes 🙈"
10,2022-09-08 18:32:41+00:00,RIP Queen. https://t.co/MpdKD0ZTwR
11,2022-09-08 18:20:18+00:00,My prayers are with the royal family and those mourning the loss of Queen Elizabeth II. She served the United Kingdom dutifully throughout her 70-year reign—and her legacy is one of steadfastness in times of uncertainty. https://t.co/LwALEL1Ofx
12,2022-09-08 18:19:10+00:00,RIP Queen Elizabeth
13,2022-09-08 18:14:49+00:00,Rest In Peace Queen Elizabeth II 🇬🇧🖤 https://t.co/QVtUPrvN28
14,2022-09-08 18:09:50+00:00,"💔..  May she  RIP .. she will be with the love of her life now 🥺.. @ Kansas City, Missouri https://t.co/nClrQL2Vye"
