,date,content
0,2022-09-09 23:17:53+00:00,"It’s just a profitable game to these people.
Not life/death.
They have no skin in the game.
One paymaster is as good as another.
Democracy entirely optional.
They view politics as a game, something which never has real consequences.
A pernicious attitude. https://t.co/ipuCOrzILB"
1,2022-09-09 23:04:48+00:00,"I’m sad about #TheQueen. I’m not a monarchist. I’m rather against the whole thing. But her death  gets you thinking about how fleeting life is—for us all—the good, the great, the bad &amp; the ugly. Death is the common denominator for royals &amp; for regular folk. https://t.co/1lEqUROGt3"
2,2022-09-09 22:32:50+00:00,".@MitraCreative celebrates the remarkable life &amp; mourns the passing of #QueenElizabeth II. Thank you to Her Majesty for her almost century-long service, including her astonishing 70 years on the throne. Rest well.

https://t.co/vLm4BtdkBk

[Photo Yousef Karsh via @nytimes.] https://t.co/bk2BD2Cy4P"
3,2022-09-09 22:25:44+00:00,"This is amazing! @OtherHalfNYC x @monkishbrewing JFK 2 LAX Imperial New England IPA. 
😎👍🏻🇺🇸🍻 https://t.co/l7CBpGtZRm"
4,2022-09-09 21:50:25+00:00,"@TalbertSwan This is the most dumb tweet that I ever read. 1st, she reigned for 70 years. 2nd, if you don’t like her just don’t comment about Her Majesty especially after she passed away. Didn’t God teach you that it’s not okay to trash people after they die? Is this what you teach others?"
5,2022-09-09 21:29:02+00:00,"Never Forget
#rip #worldtradecenter #twintowers #nyc #BKB #photographer #photography #nightshot https://t.co/LHJZWLaFPr"
6,2022-09-09 21:12:35+00:00,@nypost Rip off royal
7,2022-09-09 20:21:53+00:00,"Man, I cant wait for the royal family to stop trending. Im Over it."
8,2022-09-09 20:16:06+00:00,@Death_Bow Hahaha I adore this
9,2022-09-09 20:10:55+00:00,Just Passing By- RIP Queen Elizabeth II @ The Queen Elizabeth II Garden https://t.co/WyPIFwXPeu
10,2022-09-09 20:05:43+00:00,Demand #justice for the endangered baby bear who was tortured to death in #Mexico! #animals https://t.co/erFfDcvXYD
11,2022-09-09 20:04:36+00:00,God save the King 👑 #royal #uk #England
12,2022-09-09 20:02:55+00:00,"📺 Now at 4: Team coverage on the death of Queen Elizabeth II. #nbc4ny

@LyndaBaquero4NY @Gus4NY @Natalie4NY @NBCNewYork https://t.co/3bxnWhzktt"
13,2022-09-09 20:02:38+00:00,"I was moved to meet @LinaAbuAkleh, who is relentlessly fighting for justice in the shooting death of her remarkable aunt, the @AlJazeera journalist #ShireenAbuAkleh. Those responsible for the killing must be held accountable.

Journalists must never be a target. https://t.co/Kpn7kYv6fB"
14,2022-09-09 19:58:05+00:00,"#Breakingnew. At The Jacob Riis Houses in #NYC officials first said the tap water at the Jacob Riis Houses contained arsenic. Now they say a potentially deadly bacteria , @iamrevkev speaks out and also stated an alleged death due to the water of a 23 year old. https://t.co/vh2vHYcYFA"
15,2022-09-09 19:48:04+00:00,"@DolphinsHistory New England Patriots at #MiamiDolphins  Sunday Oct 18, 1992
Start Time: 4:00pm
Joe Robbie Stadium #FinsUp #NFLTwitter https://t.co/nAzSOh8A2h"
16,2022-09-09 19:20:25+00:00,should I reach out to the British guy I went on a five hour date with in London and see how he’s handling the queen’s death?
17,2022-09-09 19:13:35+00:00,"PR Amb. Mohammed Hussein Bahr AlUloom and the #Iraq team to @UN offer their sincere condolences to the Royal Family, the British People &amp; @UKUN_NewYork on the passing of HM Queen Elizabeth II. https://t.co/SibRlyX6LP"
18,2022-09-09 19:11:22+00:00,"Okay I have an update. 
I will take a L for this one, I had no idea of anything the late queen Elizabeth was truly involved in in these past 567 billion years. I have more context and education today on the matter. And I’m no longer a fan but in all respect may she RIP."
19,2022-09-09 19:07:57+00:00,"▫️#time goes by..

Queen Elizabeth II, the UK’s monarch for the past 70 years, has #died aged 96!
#GodSaveOurQueen👑🇬🇧
#RIP✝️ https://t.co/SFkAFtk9tT"
20,2022-09-09 18:58:34+00:00,"@rev_avocado @SababaUSA Would the massacre of much of the royal family by one of its own be  violent cause?
https://t.co/cTAAPllYYW"
21,2022-09-09 18:57:38+00:00,Welcome to His Majesty's Theatre. 🎭 https://t.co/ygvTsw2XOJ
22,2022-09-09 18:42:09+00:00,@girlgone_crypto England is buying back all Qeen Elizabeth's coins and converting them to King Charles coins 👸🏻🤴🏻
23,2022-09-09 18:34:23+00:00,"King Charles’ long dress rehearsal did him well. 

Bravo, Your Majesty 
    🏴󠁧󠁢󠁥󠁮󠁧󠁿 🇺🇸 🏴󠁧󠁢󠁥󠁮󠁧󠁿 🇺🇸 🏴󠁧󠁢󠁥󠁮󠁧󠁿
           ♥️♥️♥️ https://t.co/dbdnTG6JoT"
24,2022-09-09 18:14:54+00:00,@49erFaithfulUK Definitely the right call. May her Majesty 👑 R.I.P. 🙏🏽.
25,2022-09-09 18:14:09+00:00,@herosdontdie There are areas where more crimes happen then others. We really be la-dee-dahing passed death / crime daily it’s crazy. But DTLA fr is the Wild Wild West
26,2022-09-09 17:38:20+00:00,"@jamieklingler Jamie, I am very sorry for your loss of McNulty.
My dog Dudley had to be euthanized in July 2020. Due to the pandemic, I wasn’t permitted to be there. My dog saved my life, and I feel guilty for not being present for his death. (I called Dudley “my Bubba.”) 💔❤️‍🩹❤️ https://t.co/EkNYVIvrLl"
27,2022-09-09 17:37:27+00:00,@LaurieInPhilly He was going to give the Royal family a ‘deal’. The way he is he’ll say King Charles wanted to bury her there.
28,2022-09-09 17:36:29+00:00,"Update: Eth / Btc is holding on to it’s 0.08 floor.  I am treating this as a potential bottom &amp; will exit my $eth longs, if we rip down through 0.079 on eth/btc https://t.co/zAtm3cRxzZ"
29,2022-09-09 17:30:37+00:00,"@GrumFromNorwich @SarazamT @21stCenturyLeft @NuanceNews @Esqueer_ @MenshevikM That’s not the subject 

The subject is whether or not the royal family have a choice in their lives or not"
30,2022-09-09 17:28:34+00:00,Thankful for everything Mrs. June did for our community. We love you. Rest in Peace. 💔 https://t.co/7iNdBPO8zk
31,2022-09-09 17:19:54+00:00,"Rooting for Erika, Rinna &amp; Diana (even tho she’s filming virtually) at the reunion today. I hope they rip Sutton &amp; Garcelle a new one. #RHOBH"
32,2022-09-09 17:18:32+00:00,"That was an incredible #KingsSpeech. ❤️

#KingCharles https://t.co/Tt3hAwP1D0"
33,2022-09-09 17:11:59+00:00,@BullheadRanch @AlysonMetzger You don’t stop a pandemic with “You do you.” It only means more mass death and disability. Which is stretching our hospitals to the breaking point. Because our elected leadership is giving us nothing to help us. Nothing.
34,2022-09-09 17:11:34+00:00,"What a wonderful first speech as #KingCharles… heartfelt, genuine, and reassuring. We are in good hands… 🤴🏼 #KingCharlesIII"
35,2022-09-09 17:10:59+00:00,King Charles address - May flights of angels sing thee to your rest 😭😭😭😭😭#KingCharles #KingCharlesIII
