,date,content
0,2022-09-09 21:41:27+00:00,I will never be able to wrap my head around Americans who love the British royal family.
1,2022-09-09 17:38:42+00:00,"Sure, as an icon who people have looked towards for comfort (à la Rosa Parks, RBG, or Dolly Parton), people mourning Elizabeth's passing are due sympathy. Her death, however, shouldn't be divorced from the very real criticism of monarchical rule in the modern era. 🤷‍♂️"
2,2022-09-09 17:37:44+00:00,"So Prince William will become the Prince of Wales… last year, with the help of @martinjohnes, I asked “are we right to want another”, and what does that mean for Cymru and the Royal Family?

https://t.co/1F1JVqunWg"
3,2022-09-09 12:07:19+00:00,How Queen Elizabeth’s passing is affecting the media and ad industry in the UK — and spurring some debate. https://t.co/cboRHbGlvb
4,2022-09-09 11:21:44+00:00,"@PianoAvengers Kids and pets, Royal family time #QueenElizabeth https://t.co/43rlcEgrEt"
5,2022-09-09 10:56:09+00:00,"The royal family are blue eyed devils, y’all need to stfu with the rip posts 😂🤡"
6,2022-09-09 05:12:58+00:00,"If you’re a black person posting RIP Queen Eliz or telling others they shouldn’t laugh at her death, I’m going to assume you didn’t pay attention in a single history class. Fuck her. She doesn’t deserve to rest peacefully. Go read a book and stop bootlicking."
7,2022-09-09 05:04:13+00:00,White people be wanting to fit in so bad. On here celebrating the death of your royal aunty. All she did for you 😂
8,2022-09-09 04:30:48+00:00,"@lyndellmbade Also, you're missing the larger picture. Her family did harm and she and her progeny benefit from that. That is colonialism alive and well. By accepting to live in that context, she is complicit and can be blamed for colonialism."
9,2022-09-09 04:08:59+00:00,"@lyndellmbade People affected by colonialism have been seeking reparations -- they couldn't go to Edward III. So they hired QE II would do something. Not only did she do nothing, she maintained colonialist structures.

And, her family's wealth is built on hoarder resources. She is responsible."
10,2022-09-09 02:57:30+00:00,Proud of my boys for even getting out there and playing tonight after the death of Queen Elizabeth II. Inspiring performance. Tough day. #proud #rams #qe2 #ripip
11,2022-09-09 02:34:43+00:00,Tremendous respect for her dedication to the service of the Commonwealth. Sad to mourn the death of my Queen today. https://t.co/I8coZVlo4p
12,2022-09-09 01:21:07+00:00,"@ckwest542 @atrupar Well, to be fair.

FPOTUS probably had classified files on the royal family.

Why you ask?

Cause he could trade them off with the National Enquirer to bury stories detrimental to himself.

I’m just saying.

https://t.co/iH6W49D1c8"
13,2022-09-09 00:14:07+00:00,"Can someone explain to me, why they're so many people celebrating the death of The Queen and making fun of her death as well? This genuinely has me confused. Celebrating the death of someone is just not cool. Says a lot about you as a person. But I am still genuinely confused 😕"
14,2022-09-09 00:10:31+00:00,"@steamyporkbuns @thewongmann @eean North Korea is supposed to be a ""Democratic People's Republic,"" but it's basically run by the Kim royal family in an absolute authoritarian way."
15,2022-09-09 00:10:16+00:00,I wish somebody would talk about my death like the way y’all are coming for the Queen 😩😭
