,date,content
0,2022-09-09 21:41:27+00:00,I will never be able to wrap my head around Americans who love the British royal family.
1,2022-09-09 17:38:42+00:00,"Sure, as an icon who people have looked towards for comfort (à la Rosa Parks, RBG, or Dolly Parton), people mourning Elizabeth's passing are due sympathy. Her death, however, shouldn't be divorced from the very real criticism of monarchical rule in the modern era. 🤷‍♂️"
2,2022-09-09 17:37:44+00:00,"So Prince William will become the Prince of Wales… last year, with the help of @martinjohnes, I asked “are we right to want another”, and what does that mean for Cymru and the Royal Family?

https://t.co/1F1JVqunWg"
3,2022-09-09 12:07:19+00:00,How Queen Elizabeth’s passing is affecting the media and ad industry in the UK — and spurring some debate. https://t.co/cboRHbGlvb
4,2022-09-09 02:34:43+00:00,Tremendous respect for her dedication to the service of the Commonwealth. Sad to mourn the death of my Queen today. https://t.co/I8coZVlo4p
5,2022-09-09 01:21:07+00:00,"@ckwest542 @atrupar Well, to be fair.

FPOTUS probably had classified files on the royal family.

Why you ask?

Cause he could trade them off with the National Enquirer to bury stories detrimental to himself.

I’m just saying.

https://t.co/iH6W49D1c8"
6,2022-09-09 00:14:07+00:00,"Can someone explain to me, why they're so many people celebrating the death of The Queen and making fun of her death as well? This genuinely has me confused. Celebrating the death of someone is just not cool. Says a lot about you as a person. But I am still genuinely confused 😕"
7,2022-09-08 21:22:39+00:00,@MarkTLive I will never get the media obsession on the British royal family.  She was the queen of England not the US and I'd getting way more coverage than she deserves former presidents don't get this when they pass away)
8,2022-09-08 21:13:58+00:00,"It will probably take something shocking to get through the noise surrounding the death of the Queen, huh? https://t.co/RhqnN4U7NZ"
9,2022-09-08 20:51:24+00:00,I had almost forgot twitter has a keywords muting feature.   Enough of royal family bs!
10,2022-09-08 20:00:47+00:00,the amount of bootlicking by americans over the death of the queen when their greatest connection to the uk is going on a family vacation to london for a week back in 2009 is truly wild
11,2022-09-08 19:56:47+00:00,Condolences to Megan and the royal family #QueenElizabeth
12,2022-09-08 19:46:55+00:00,"May all those affected by colonialism/imperialism realize the generational trauma they carry, to continue the individual/collective healing of those wounds, to make the world a more peaceful &amp; equitable place to be. 🌎☮️❤️‍🩹

This will not be achieved by the death of 1 woman. https://t.co/mdEo5pcmU7"
13,2022-09-08 19:00:24+00:00,"We, the @openaustriasf Team, are deeply saddened by the death of HM Queen Elizabeth II. We offer our sincere condolences to our friends at @UKin_SF and all those from 🇬🇧 and her other Commonwealth realms here in the Bay Area.

May she rest in peace / Möge sie in Frieden ruhen https://t.co/4vmJELqpBl"
14,2022-09-08 18:32:34+00:00,"The Queen wasn’t perfect, and I have more Irish than English ancestry, but I have to recognize the impact she made on the world and how she embodied grace and class. Vivat Regina 👑 https://t.co/EB0APqcrQx"
15,2022-09-08 18:21:38+00:00,"Our hearts and our thoughts go to the family members of the Queen, goes to the people of the United of Kingdom.
#QueenElizabeth 
#rememberQueenElizabeth https://t.co/ayoR9U4si9"
