,date,content
0,2022-09-09 20:45:28+00:00,"Have a nice night trip with T 
UK to Delhi. 😍😍😍 https://t.co/7amcXiAKf9"
1,2022-09-09 20:41:19+00:00,"May her soul RIP. As a nation we are with the family and fellow UK citizens in this moment of grief.

It's indeed a shameful act for state mourning, hopefully @BJP4India gives a guard of honour to their masters, but as a Indian republic we shouldn't.
@SanjayAzadSln
@AtishiAAP https://t.co/Hrb8MiWzKh"
2,2022-09-09 19:25:57+00:00,"@SanjayAzadSln अत्यंत दुखद दिवंगत आत्मा को श्री चरणों में उच्च स्थान मिले परिवार को असीम दुख सहेने की शक्ति मिले
Horrendous #shame for the state where these acts happen.State government now must take responsibility of his family"
3,2022-09-09 19:14:54+00:00,@firki07 Firki with queen 😭 https://t.co/mhvgH7aQsc
4,2022-09-09 19:13:38+00:00,@TuckerCarlson This so called great Britain looted  45 trillion Usd from India ...... https://t.co/nDwbaOdixa
5,2022-09-09 19:03:34+00:00,@Nationalist1101 Ji bilkul
6,2022-09-09 19:00:10+00:00,"Watched #siya today, @ManMundra and his team done a fabulous job.👌🏻
.
Ratings: ⭐️ ⭐️ ⭐️ ⭐️ ⭐️ 
.
.
@DrishyamFilms what a masterpiece, very well crafted and the pain what siya and her family go through we feel the same, hats off 💯

Thanks for inviting ❤️ https://t.co/kd3Sso6abS"
7,2022-09-09 18:47:04+00:00,"Chain snatching at gate no 1. of Ajnara GenX.. pls ask your family members to be careful.
@ghaziabadpolice https://t.co/EXew9Wxz04"
8,2022-09-09 18:45:50+00:00,"#KingCharles King Charles III greeting the crowds outside Buckingham Palace 💙🙌
#KingCharles #Royal #RoyalFamily @NIA_India https://t.co/bx5klNj5ho"
9,2022-09-09 18:43:31+00:00,"Need college going students with good communication skill for part time work!
Dm on 8130540521 
#Queen #QueenElizabeth #QueenElizabeth #SourceLove #earnmoney #earni #socity #TotallySpies"
10,2022-09-09 18:37:06+00:00,@PetaIndia I am having a complaint about my neighbour who is willing to kill a street dog just because my family give food and shelter to him and also filed a FIR against the it. Today the dog hold his son's leg. She and his husband ran to kill the dog and came to fought &amp; abused
11,2022-09-09 18:30:25+00:00,"Promoting #circulareconomy through our #renewed products.

#QueenElizabeth #Queen #Bramhastra #IndianEconomy #india #Delhi #mumbai #graphicdesign #student https://t.co/rvPEN8Rixn"
